radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,size,flag,x,y,cloud_id,status
LTE,262.0,2.0,42401.0,5259265.0,0.0,10.070239,53.16785,51371.0,2000.0,1.0,1435593569.0,1631422784.0,0.0,593.0,0.0,21169253.85247556,5547058.08365532,3.0,1.0
LTE,216.0,30.0,1320.0,337409.0,0.0,20.509549,47.858755,63281.0,2202.0,1.0,1435647359.0,1492459400.0,0.0,844.0,0.0,22331941.94397991,6077728.236026801,3.0,1.0
LTE,262.0,1.0,16510.0,27749120.0,0.0,12.27135,51.190268,89754.0,57.0,1.0,1435785438.0,1520062493.0,0.0,563.0,0.0,21414404.68598651,5748679.116997568,3.0,1.0
LTE,262.0,1.0,16545.0,28986112.0,0.0,12.531119,51.200923,71615.0,21.0,1.0,1435785438.0,1561421284.0,0.0,837.0,1.0,21443336.705712143,5747605.94210749,3.0,1.0
LTE,262.0,1.0,16545.0,26804737.0,0.0,12.652998,51.240273,62999.0,41.0,1.0,1435785438.0,1491760142.0,0.0,566.0,0.0,21456911.095389668,5743641.396328631,3.0,1.0
LTE,262.0,1.0,16545.0,26804736.0,0.0,12.682572,51.278363,61120.0,10.0,1.0,1435785438.0,1491760142.0,0.0,965.0,0.0,21460204.92779987,5739801.99317127,3.0,1.0
LTE,262.0,1.0,16510.0,25865472.0,0.0,12.508588,51.188921,73268.0,52.0,1.0,1435785438.0,1619708723.0,0.0,532.0,0.0,21440827.29413325,5748814.777387679,3.0,1.0
LTE,262.0,2.0,65534.0,18515457.0,0.0,8.821252,48.822278,66104.0,78.0,1.0,1435903385.0,1435903385.0,0.0,875.0,0.0,21030146.73607191,5983852.921586415,3.0,1.0
LTE,262.0,2.0,65534.0,18653955.0,0.0,8.970945,48.790153,68560.0,402.0,1.0,1436256705.0,1436256705.0,0.0,973.0,0.0,21046818.93648377,5986999.222714912,3.0,1.0
LTE,262.0,2.0,65534.0,19009283.0,0.0,8.972259,48.702999,74970.0,496.0,1.0,1436279463.0,1456451055.0,0.0,913.0,0.0,21046965.28448496,5995529.270225696,3.0,1.0
LTE,262.0,2.0,65534.0,18710275.0,0.0,8.993412,48.705187,76529.0,1673.0,1.0,1436279463.0,1466056418.0,0.0,628.0,0.0,21049321.220001727,5995315.226294829,3.0,1.0
LTE,262.0,2.0,65534.0,18158339.0,0.0,9.040304,48.721484,74816.0,191.0,1.0,1436344407.0,1466059454.0,0.0,913.0,0.0,21054543.86115204,5993720.784758817,3.0,1.0
LTE,232.0,5.0,10233.0,28756748.0,0.0,16.091966,48.066798,228657.0,10.0,1.0,1436881521.0,1489667801.0,0.0,769.0,0.0,21839929.43095634,6057544.019600377,3.0,1.0
LTE,216.0,1.0,5211.0,1466370.0,0.0,21.378421,47.551418,173888.0,10.0,1.0,1436944518.0,1464835520.0,0.0,559.0,0.0,22428713.390315115,6107461.41985618,3.0,1.0
LTE,262.0,1.0,21003.0,28076288.0,0.0,10.333856,47.721281,103357.0,77.0,1.0,1437377749.0,1485252894.0,0.0,540.0,0.0,21198614.446865235,6091040.496023161,3.0,1.0
LTE,240.0,1.0,58.0,27429664.0,0.0,21.025702,65.189361,59314.0,1944.0,1.0,1437744401.0,1473140992.0,0.0,532.0,0.0,22389428.975833,4192232.132792057,3.0,1.0
